DateTime,CustomerID,ProductCategory,CampaignID,AdPlatform,Impressions,Clicks,Conversions,ConversionValue
30-10-2023 22:00,6740,Smartphones,123,Twitter,6,0,0,0
05-02-2023 20:00,5457,Laptops,155,Google,1,0,0,0
13-08-2023 14:00,3063,Wearables,190,Twitter,3,1,0,0
05-08-2023 7:00,2977,Smartphones,154,Facebook,5,1,1,489
27-08-2023 22:00,9567,Laptops,153,Facebook,3,1,1,181
19-09-2023 01:00,9933,Laptops,102,Facebook,3,1,0,0
20-01-2023 10:00,3667,Laptops,175,Instagram,5,1,0,0
04-07-2023 10:00,5919,Accessories,146,Facebook,8,1,0,0
21-08-2023 10:00,9609,Smartphones,129,Twitter,8,1,0,0
13-12-2023 18:00,8642,Wearables,175,Google,8,0,0,0
12-03-2023 5:00,9798,Wearables,140,Twitter,6,0,0,0
02-02-2023 1:00,9759,Laptops,154,Facebook,9,0,0,0
17-10-2023 13:00,1543,Wearables,158,Twitter,5,1,1,331
12-04-2023 9:00,1883,Laptops,139,Google,7,1,0,0
10-08-2023 7:00,5798,Accessories,144,Instagram,1,1,1,347
30-07-2023 11:00,9040,Laptops,121,Facebook,4,1,1,67
25-09-2023 12:00,6718,Smartphones,114,Instagram,1,0,0,0
19-02-2023 08:00,3068,Smartphones,191,Google,2,1,1,305
09-07-2023 19:00,8478,Laptops,116,Twitter,6,1,0,0
22-05-2023 01:00,9120,Home Entertainment,158,Twitter,1,1,0,0
24-09-2023 12:00,8820,Smartphones,124,Facebook,9,1,0,0
28-12-2023 02:00,2786,Wearables,142,Facebook,6,0,0,0
17-04-2023 14:00,6715,Home Entertainment,163,Facebook,8,0,0,0
24-11-2023 01:00,9269,Laptops,150,Google,8,1,0,0
27-03-2023 07:00,2308,Laptops,160,Facebook,2,1,0,0
25-04-2023 11:00,9839,Laptops,144,Instagram,2,0,0,0
08-01-2023 21:00,9744,Wearables,102,Google,3,0,0,0
24-04-2023 22:00,9473,Smartphones,135,Instagram,8,0,0,0
06-05-2023 5:00,5861,Laptops,194,Facebook,8,1,0,0
14-07-2023 02:00,3776,Smartphones,178,Google,5,1,0,0
21-03-2023 03:00,2596,Wearables,163,Facebook,2,1,0,0
19-11-2023 06:00,1479,Smartphones,127,Instagram,4,0,0,0
22-02-2023 19:00,4312,Accessories,194,Facebook,4,0,0,0
05-03-2023 16:00,7156,Laptops,144,Facebook,7,0,0,0
29-05-2023 04:00,8919,Accessories,183,Instagram,4,0,0,0
12-06-2023 2:00,7744,Wearables,120,Google,6,1,1,140
13-08-2023 17:00,4898,Laptops,126,Google,2,0,0,0
18-12-2023 09:00,3072,Smartphones,182,Google,2,1,0,0
10-11-2023 1:00,6624,Accessories,199,Google,5,1,0,0
19-04-2023 20:00,1938,Home Entertainment,175,Instagram,1,1,0,0
21-10-2023 09:00,9176,Accessories,134,Facebook,2,1,0,0
17-09-2023 19:00,1761,Wearables,147,Google,3,0,0,0
17-08-2023 14:00,8254,Accessories,196,Facebook,9,0,0,0
